Game	Nhóm	Tên case	URL test	Mục đích kiểm tra	Bối cảnh (bộ bài / hành động)	Log đêm mong đợi	Kết quả mong đợi trên UI
Ma Sói Một Đêm	Case luật (Kết quả)	Nhân Bản → Copy Cat	http://localhost:3000/debug-wolf?phase=result&case=doppelganger-copycat	Nhân Bản copy trúng Copy Cat: chỉ ghi log, không nhận chức năng nào.	Bộ bài: Copy Cat, Nhân Bản, Ma Sói, Tiên Tri, Phù Thuỷ, Mất Ngủ, Dân Làng, Dân Làng. Trí nhân bản trúng Copy Cat: chỉ ghi nhận vào log, không nhận chức năng nào.	1. Yun (Copy Cat) copy Ma Sói từ lá giữa 1  //  2. Trí (Nhân Bản) nhân bản Yun (Copy Cat)  //  3. Yun (Copy Cat → Ma Sói) hoàn tất lượt mà không xem lá giữa bàn	Có Ma Sói bị treo. Dân làng thắng.  //  Khánh: Tiên Tri → Tiên Tri  //  Yun: Copy Cat → Copy Cat [tag Ma Sói]  //  Trí: Nhân Bản → Nhân Bản [tag Copy Cat]  //  Lan Nè: Phù Thuỷ → Phù Thuỷ  //  Đại Chúa: Dân Làng → Dân Làng
Ma Sói Một Đêm	Case luật (Kết quả)	Copy Cat → Nhân Bản → Ma Sói	http://localhost:3000/debug-wolf?phase=result&case=copycat-doppelganger-wolf	Copy Cat copy trúng Nhân Bản thì tiếp tục thực hiện chức năng Nhân Bản (lồng 2 tầng).	Bộ bài: Copy Cat, Nhân Bản, Ma Sói, Tiên Tri, Mất Ngủ, Dân Làng, Dân Làng, Dân Làng. Yun copy lá Nhân Bản giữa bàn, rồi dùng nó nhân bản Ma Sói của Trí.	1. Yun (Copy Cat) copy Nhân Bản từ lá giữa 1  //  2. Yun (Copy Cat → Nhân Bản) nhân bản Trí (Ma Sói)  //  3. Yun (Copy Cat → Nhân Bản → Ma Sói) thấy Ma Sói cùng phe: Trí  //  4. Trí (Ma Sói) thấy Ma Sói cùng phe: Yun	Có Ma Sói bị treo. Dân làng thắng.  //  Khánh: Tiên Tri → Tiên Tri  //  Yun: Copy Cat → Copy Cat [tag Ma Sói]  //  Trí: Ma Sói → Ma Sói  //  Lan Nè: Dân Làng → Dân Làng  //  Đại Chúa: Dân Làng → Dân Làng
Ma Sói Một Đêm	Case luật (Kết quả)	Sói Tiên Tri là sói đơn	http://localhost:3000/debug-wolf?phase=result&case=werewolf-seer-lone	Luật mới: Sói Tiên Tri là sói duy nhất thì được xem thêm 1 lá giữa bàn trước khi soi.	Bộ bài: Sói Tiên Tri, Tiên Tri, Kẻ Trộm, Phù Thuỷ, Say Rượu, Kẻ Gây Rối, Dân Làng, Dân Làng. Yun là Ma Sói duy nhất: soi bài Khánh, đồng thời được xem thêm một lá giữa bàn.	1. Yun (Sói Tiên Tri) xem lá giữa 2 (Phù Thuỷ)  //  2. Yun (Sói Tiên Tri) soi Khánh (Tiên Tri)	Có Ma Sói bị treo. Dân làng thắng.  //  Khánh: Tiên Tri → Tiên Tri  //  Yun: Sói Tiên Tri → Sói Tiên Tri  //  Trí: Dân Làng → Dân Làng  //  Lan Nè: Kẻ Gây Rối → Kẻ Gây Rối  //  Đại Chúa: Kẻ Trộm → Kẻ Trộm
Ma Sói Cổ Điển	Phase UI	Xem vai	http://localhost:3000/debug-wolf-classic?phase=card_reveal	Màn lật vai đầu ván.	8 người chơi, mình là Ma Sói. 3 người đã bấm OK.	Log đêm chỉ hiện ở phase Kết quả.	Lá bài úp, kéo mở. Nút OK.
Ma Sói Cổ Điển	Phase UI	Ban đêm	http://localhost:3000/debug-wolf-classic?phase=night	Lượt Ma Sói: panel Bầy Sói + chọn nạn nhân.	Mình và Yun là sói, cả hai đang chọn Ngọc.	Log đêm chỉ hiện ở phase Kết quả.	Hiện "BẦY SÓI: Khánh, Yun" và danh sách nạn nhân. Sói thấy lựa chọn của nhau.
Ma Sói Cổ Điển	Phase UI	Thông báo ban đêm	http://localhost:3000/debug-wolf-classic?phase=night_review	Màn công bố người chết sau đêm.	Đêm 2, Ngọc chết.	Log đêm chỉ hiện ở phase Kết quả.	Dòng "Ngọc đã chết" phải là pill bo tròn có padding, KHÔNG dính sát chữ.
Ma Sói Cổ Điển	Phase UI	Kết quả bỏ phiếu	http://localhost:3000/debug-wolf-classic?phase=day_review	Màn công bố kết quả treo cổ ban ngày.	Ngày 2, Lan Nè bị treo cổ với 3 phiếu.	Log đêm chỉ hiện ở phase Kết quả.	Bảng ai vote ai + dòng "Lan Nè bị treo cổ" dạng pill có padding.
Ma Sói Cổ Điển	Phase UI	Thảo luận	http://localhost:3000/debug-wolf-classic?phase=discussion	Panel "Vai trò trong ván" của bản cổ điển.	Deck 6 role: Bảo Vệ, Ma Sói x2, Tiên Tri, Phù Thuỷ, Thợ Săn, Dân Làng x2.	Log đêm chỉ hiện ở phase Kết quả.	Role xếp theo thứ tự lượt đêm: Bảo Vệ → Ma Sói → Tiên Tri → Phù Thuỷ → Thợ Săn → Dân Làng.
Ma Sói Cổ Điển	Phase UI	Bỏ phiếu	http://localhost:3000/debug-wolf-classic?phase=voting	Màn bỏ phiếu ban ngày.	2 người đã vote, mình chưa.	Log đêm chỉ hiện ở phase Kết quả.	Danh sách người còn sống để vote.
Ma Sói Cổ Điển	Phase UI	Kết quả	http://localhost:3000/debug-wolf-classic?phase=result	Màn tổng kết + lịch sử từng đêm.	Phe Ma Sói thắng, 4 người đã chết.	Log đêm chỉ hiện ở phase Kết quả.	Băng công bố phe thắng phải có padding trên/dưới. Bảng lịch sử đêm 1 đầy đủ.
